epoch,tr_loss,va_loss,tr_acc,va_acc,val_f1
1,2.4457,2.0766,0.2053,0.2772,0.1902
2,1.8064,3.1907,0.3175,0.2159,0.1477
3,1.5511,1.4982,0.4071,0.4288,0.3681
4,1.4416,1.437,0.4596,0.4747,0.4142
5,1.3512,1.3227,0.4929,0.5161,0.4872
6,1.3033,1.2594,0.5389,0.5436,0.479
7,1.2662,1.2082,0.5462,0.5881,0.5369
8,1.2211,1.3582,0.5672,0.562,0.5052
9,1.1853,1.1435,0.6044,0.608,0.5737
10,1.1821,1.1243,0.6013,0.6447,0.6241
11,1.1601,1.1492,0.6136,0.6202,0.5871
12,1.1259,1.0704,0.6239,0.6616,0.6344
13,1.0942,1.0461,0.6519,0.6708,0.6606
14,1.0996,1.0272,0.6319,0.6815,0.6654
15,1.0615,1.116,0.6534,0.5972,0.5665
16,1.0613,1.0484,0.671,0.6631,0.6386
17,1.0213,0.9769,0.6836,0.7044,0.6863
18,1.0099,0.9965,0.6993,0.6968,0.6872
19,0.9846,0.9698,0.7013,0.6983,0.6894
20,0.9709,0.9639,0.7055,0.6861,0.6695
21,0.9552,0.9515,0.7181,0.706,0.6979
22,0.946,0.9393,0.7208,0.7259,0.7108
23,0.9197,0.9253,0.7242,0.706,0.6892
24,0.9168,0.9941,0.7327,0.6845,0.6511
25,0.8942,0.9692,0.7411,0.6861,0.6642
26,0.9,0.9278,0.7465,0.732,0.7231
27,0.8788,1.0058,0.756,0.6784,0.6665
28,0.8674,0.9307,0.7614,0.7075,0.6918
29,0.8405,0.8748,0.7733,0.7305,0.7295
30,0.8467,0.8566,0.774,0.7504,0.7456
31,0.8393,0.9408,0.7706,0.7121,0.7084
32,0.8184,0.9002,0.7936,0.7213,0.7142
33,0.8022,0.8464,0.7924,0.7596,0.7595
34,0.797,0.8832,0.7955,0.7366,0.7326
35,0.7888,0.8706,0.7962,0.7305,0.7288
36,0.7947,0.8261,0.7878,0.7718,0.7692
37,0.7666,0.8024,0.8139,0.755,0.7524
38,0.7802,0.7946,0.8093,0.7749,0.7718
39,0.7494,0.7969,0.8131,0.7779,0.7789
40,0.741,0.8022,0.8227,0.7718,0.7703
41,0.7493,0.78,0.8215,0.7856,0.7797
42,0.7302,0.771,0.8242,0.7856,0.7862
43,0.7215,0.7671,0.8349,0.7963,0.7945
44,0.7094,0.7851,0.8388,0.7642,0.7633
45,0.716,0.7719,0.8338,0.7948,0.7947
46,0.7006,0.7706,0.8418,0.7933,0.7894
47,0.6879,0.7495,0.8568,0.8086,0.8068
48,0.6976,0.748,0.8453,0.7994,0.7987
49,0.6919,0.7531,0.8533,0.8086,0.8092
50,0.6826,0.7397,0.8487,0.8178,0.8175
51,0.6901,0.7416,0.856,0.8162,0.8173
52,0.6933,0.7448,0.8476,0.8116,0.8106
53,0.6817,0.7473,0.8598,0.8009,0.7995
54,0.6669,0.7384,0.8606,0.8224,0.8214
55,0.6545,0.7378,0.8679,0.8162,0.8151
56,0.6737,0.742,0.856,0.8086,0.8074
57,0.6716,0.7394,0.8583,0.8147,0.8142
58,0.6671,0.7365,0.8621,0.8254,0.8242
59,0.6596,0.741,0.8713,0.8132,0.8119
60,0.6613,0.7328,0.8667,0.8285,0.8276
